,name,type,value,date
468,博茨瓦纳,,35643207.63,1962
469,中非共和国,,124482748.9,1962
470,加拿大,,41978852041.0,1962
471,瑞士,,11879982759.0,1962
472,海峡群岛,,0.0,1962
473,智利,,5416272727.0,1962
474,中国,,47209359006.0,1962
475,科特迪瓦,,645284344.7,1962
476,喀麦隆,,699373701.2,1962
477,刚果（金）,,3779841429.0,1962
478,刚果（布）,,166521239.9,1962
479,哥伦比亚,,4955543963.0,1962
480,科摩罗,,0.0,1962
481,佛得角,,0.0,1962
482,哥斯达黎加,,479180824.3,1962
483,加勒比小国,,2148273316.0,1962
484,古巴,,0.0,1962
485,库拉索,,0.0,1962
486,开曼群岛,,0.0,1962
487,塞浦路斯,,0.0,1962
488,捷克共和国,,0.0,1962
489,德国,,0.0,1962
490,吉布提,,0.0,1962
491,多米尼克,,0.0,1962
492,丹麦,,7812968114.0,1962
493,多米尼加共和国,,824100000.0,1962
494,阿尔及利亚,,2001468868.0,1962
495,厄瓜多尔,,1518208221.0,1962
496,阿拉伯埃及共和国,,0.0,1962
497,厄立特里亚,,0.0,1962
498,西班牙,,16138545209.0,1962
499,爱沙尼亚,,0.0,1962
500,埃塞俄比亚,,0.0,1962
501,芬兰,,6340580854.0,1962
502,斐济,,122906435.0,1962
503,法国,,76313782252.0,1962
504,法罗群岛,,0.0,1962
505,密克罗尼西亚联邦,,0.0,1962
506,加蓬,,182796536.5,1962
507,英国,,80601939635.0,1962
508,格鲁吉亚,,0.0,1962
509,加纳,,1382515590.0,1962
510,直布罗陀,,0.0,1962
511,几内亚,,0.0,1962
512,冈比亚,,0.0,1962
513,几内亚比绍共和国,,0.0,1962
514,赤道几内亚,,9122751.453,1962
515,希腊,,5327573509.0,1962
516,格林纳达,,0.0,1962
517,格陵兰,,0.0,1962
518,危地马拉,,1143600000.0,1962
519,关岛,,0.0,1962
520,圭亚那,,194948375.4,1962
521,中国香港特别行政区,,1612346412.0,1962
522,洪都拉斯,,387750000.0,1962
523,克罗地亚,,0.0,1962
524,海地,,281896800.0,1962
525,匈牙利,,0.0,1962
526,印度尼西亚,,0.0,1962
527,马恩岛,,0.0,1962
528,印度,,41599070242.0,1962
529,爱尔兰,,2260349684.0,1962
530,伊朗伊斯兰共和国,,4693566416.0,1962
531,伊拉克,,1954634836.0,1962
532,冰岛,,284916516.2,1962
533,以色列,,2510000000.0,1962
534,意大利,,50383891899.0,1962
535,牙买加,,777712445.8,1962
536,约旦,,0.0,1962
537,日本,,60723018684.0,1962
538,哈萨克斯坦,,0.0,1962
539,肯尼亚,,868111400.0,1962
540,吉尔吉斯斯坦,,0.0,1962
541,柬埔寨,,660000008.6,1962
542,基里巴斯,,0.0,1962
543,圣基茨和尼维斯,,12541562.15,1962
544,大韩民国,,2813933900.0,1962
545,科威特,,0.0,1962
546,老挝,,0.0,1962
547,黎巴嫩,,0.0,1962
548,利比里亚,,0.0,1962
549,利比亚,,0.0,1962
550,圣卢西亚,,0.0,1962
551,列支敦士登,,0.0,1962
552,斯里兰卡,,1434156379.0,1962
553,莱索托,,41859162.82,1962
554,立陶宛,,0.0,1962
555,卢森堡,,741509480.8,1962
556,拉脱维亚,,0.0,1962
557,中国澳门特别行政区,,0.0,1962
558,圣马丁（法属）,,0.0,1962
559,摩洛哥,,2379606422.0,1962
560,摩纳哥,,0.0,1962
561,摩尔多瓦,,0.0,1962
562,马达加斯加,,739286906.9,1962
563,马尔代夫,,0.0,1962
564,墨西哥,,15200000000.0,1962
565,马绍尔群岛,,0.0,1962
566,北马其顿,,0.0,1962
567,马里,,0.0,1962
568,马耳他,,0.0,1962
569,缅甸,,0.0,1962
570,黑山,,0.0,1962
571,蒙古,,0.0,1962
572,北马里亚纳群岛,,0.0,1962
573,莫桑比克,,0.0,1962
574,毛里塔尼亚,,111148585.6,1962
575,毛里求斯,,0.0,1962
576,马拉维,,183116337.7,1962
577,马来西亚,,2001502679.0,1962
578,纳米比亚,,0.0,1962
579,新喀里多尼亚,,0.0,1962
580,尼日尔,,531736492.9,1962
581,尼日利亚,,4909302954.0,1962
582,尼加拉瓜,,265291588.7,1962
583,荷兰,,14647057370.0,1962
584,挪威,,6066976683.0,1962
585,尼泊尔,,574091101.2,1962
